iter	Passed	Remaining
845	1383	251
846	1384	250
847	1386	248
848	1387	246
849	1389	245
850	1390	243
851	1391	241
852	1393	240
853	1394	238
854	1395	236
855	1397	235
856	1398	233
857	1400	231
858	1401	230
859	1403	228
860	1405	226
861	1406	225
862	1408	223
863	1409	221
864	1410	220
865	1412	218
866	1413	216
867	1416	215
868	1417	213
869	1418	212
870	1420	210
871	1421	208
872	1423	207
873	1424	205
874	1425	203
875	1427	202
876	1428	200
877	1430	198
878	1431	197
879	1433	195
880	1434	193
881	1436	192
882	1437	190
883	1438	188
884	1440	187
885	1441	185
886	1443	183
887	1445	182
888	1446	180
889	1448	178
890	1449	177
891	1450	175
892	1452	173
893	1453	172
894	1455	170
895	1457	169
896	1459	167
897	1461	165
898	1462	164
899	1464	162
900	1465	161
901	1466	159
902	1468	157
903	1469	156
904	1471	154
905	1472	152
906	1473	151
907	1475	149
908	1476	147
909	1477	146
910	1479	144
911	1480	142
912	1482	141
913	1483	139
914	1485	137
915	1486	136
916	1488	134
917	1489	133
918	1491	131
919	1493	129
920	1494	128
921	1496	126
922	1497	124
923	1499	123
924	1500	121
925	1501	120
926	1503	118
927	1504	116
928	1506	115
929	1508	113
930	1509	111
931	1511	110
932	1513	108
933	1514	107
934	1516	105
935	1517	103
936	1519	102
937	1520	100
938	1522	98
939	1523	97
940	1525	95
941	1527	94
942	1528	92
943	1530	90
944	1532	89
945	1534	87
946	1536	85
947	1537	84
948	1539	82
949	1540	81
950	1542	79
951	1545	77
952	1547	76
953	1548	74
954	1550	73
955	1551	71
956	1553	69
957	1554	68
958	1556	66
959	1557	64
960	1559	63
961	1560	61
962	1562	60
963	1563	58
964	1565	56
965	1567	55
966	1568	53
967	1570	51
968	1571	50
969	1572	48
970	1574	47
971	1575	45
972	1577	43
973	1580	42
974	1582	40
975	1584	38
976	1585	37
977	1587	35
978	1588	34
979	1590	32
980	1592	30
981	1593	29
982	1594	27
983	1596	25
984	1597	24
985	1598	22
986	1600	21
987	1602	19
988	1603	17
989	1605	16
990	1606	14
991	1608	12
992	1609	11
993	1611	9
994	1612	8
995	1613	6
996	1615	4
997	1617	3
998	1618	1
999	1619	0
